,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
きらきら,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ゆらゆら,0.0,1.0,0.0,0.0,0.0,0.0,2.0
さらに,0.0,0.0,2.0,0.0,0.0,1.0,3.0
同じ,0.0,0.0,2.0,3.0,1.0,55.0,93.0
特に,0.0,0.0,1.0,0.0,0.0,1.0,1.0
あまり,0.0,0.0,1.0,0.0,0.0,26.0,14.0
時折,0.0,0.0,1.0,0.0,0.0,0.0,0.0
再び,0.0,0.0,3.0,0.0,0.0,9.0,14.0
改めて,0.0,0.0,2.0,0.0,1.0,6.0,3.0
道すがら,0.0,0.0,1.0,0.0,0.0,0.0,0.0
どの,0.0,0.0,1.0,1.0,0.0,8.0,15.0
さう,0.0,0.0,0.0,63.0,0.0,0.0,0.0
くすっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
どぎまぎ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
よっく,0.0,0.0,0.0,1.0,0.0,0.0,0.0
やっぱり,0.0,0.0,0.0,13.0,0.0,32.0,7.0
勿論,0.0,0.0,0.0,1.0,6.0,2.0,0.0
はきはき,0.0,0.0,0.0,2.0,0.0,1.0,0.0
ほゞ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
わづか,0.0,0.0,0.0,1.0,0.0,0.0,0.0
即ち,0.0,0.0,0.0,2.0,0.0,3.0,0.0
どしどし,0.0,0.0,0.0,1.0,0.0,0.0,2.0
ばたり,0.0,0.0,0.0,2.0,0.0,0.0,0.0
よう,0.0,0.0,0.0,2.0,0.0,0.0,0.0
だんだん,0.0,0.0,0.0,26.0,0.0,0.0,6.0
一番,0.0,0.0,0.0,1.0,2.0,9.0,16.0
ずうっと,0.0,0.0,0.0,10.0,0.0,0.0,0.0
あゝ,0.0,0.0,0.0,10.0,0.0,0.0,0.0
ゆっくり,0.0,0.0,0.0,5.0,0.0,1.0,3.0
むしゃむしゃ,0.0,0.0,0.0,1.0,0.0,1.0,0.0
かはるがはる,0.0,0.0,0.0,3.0,0.0,0.0,0.0
決して,0.0,0.0,0.0,3.0,0.0,26.0,34.0
たびたび,0.0,0.0,0.0,1.0,0.0,0.0,8.0
しぃんと,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ひらっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
くるっ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
そろそろ,0.0,0.0,0.0,1.0,0.0,3.0,4.0
てんで,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ぴょんぴょん,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぴかぴか,0.0,0.0,0.0,1.0,0.0,0.0,1.0
しらしら,0.0,0.0,0.0,1.0,0.0,0.0,0.0
どかどか,0.0,0.0,0.0,1.0,0.0,0.0,0.0
もったり,0.0,0.0,0.0,1.0,0.0,0.0,0.0
すきっと,0.0,0.0,0.0,2.0,0.0,0.0,0.0
かく,0.0,0.0,0.0,1.0,0.0,6.0,0.0
さあ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
っ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ごとごと,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ずゐぶん,0.0,0.0,0.0,4.0,0.0,0.0,0.0
おかしな,0.0,0.0,0.0,3.0,0.0,0.0,0.0
さらさら,0.0,0.0,0.0,2.0,0.0,1.0,0.0
ぎらっ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
或ひは,0.0,0.0,0.0,3.0,0.0,0.0,0.0
あるひは,0.0,0.0,0.0,2.0,0.0,0.0,0.0
どきどき,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ごとごとごと,0.0,0.0,0.0,2.0,0.0,0.0,0.0
りん,0.0,0.0,0.0,1.0,0.0,0.0,0.0
あらゆる,0.0,0.0,0.0,2.0,1.0,14.0,1.0
ぽうっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
さっ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ほんの,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ざわざわ,0.0,0.0,0.0,3.0,0.0,0.0,4.0
んで,0.0,0.0,0.0,1.0,0.0,2.0,0.0
ちらっ,0.0,0.0,0.0,5.0,0.0,0.0,0.0
くっきり,0.0,0.0,0.0,3.0,0.0,0.0,0.0
きしきし,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ピカッ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
つるつる,0.0,0.0,0.0,1.0,0.0,0.0,0.0
沢山,0.0,0.0,0.0,2.0,0.0,9.0,2.0
きらっ,0.0,0.0,0.0,5.0,0.0,0.0,0.0
まあ,0.0,0.0,0.0,6.0,0.0,44.0,22.0
ざっ,0.0,0.0,0.0,1.0,0.0,3.0,0.0
ごく,0.0,0.0,0.0,1.0,0.0,0.0,6.0
かう,0.0,0.0,0.0,3.0,0.0,0.0,0.0
おづおづ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
つい,0.0,0.0,0.0,1.0,0.0,23.0,15.0
ぴくぴく,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ころん,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ぼおっと,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ずっと,0.0,0.0,0.0,1.0,0.0,3.0,9.0
じろ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ったく,0.0,0.0,0.0,2.0,0.0,0.0,0.0
すっ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
